Mieczysław Andrzej Adamczyk,M, Poland
J�zef Adamczyk,M, Poland
Adamczyk Tomasik,F, Poland
J�zef Obstarczyk,M, Poland
Marceli Obstarczyk,M, Poland
Obstarczyk Kotuła,F, Poland
Genowefa Abramowicz,F, Poland
Michał Abramowicz,M, Poland
Abramowicz Dutkowska,F, Poland
Katarzyna Adamczyk,F, Poland
J�zef Adamczyk,M, Poland
Adamczyk Murlak,F, Poland
,U, Poland
Mikołaj Jarosz,M, Poland
Marianna Dziwisz,F, Poland
,U, Poland
Tomasz Najda,M, Poland
Marianna Szczerbic,F, Poland
,U, Poland
Ignacy Golec,M, Poland
Marianna Kr�,F, Poland
,U, Poland
Antoni Borowiec,M, Poland
Józefa Zielińska,F, Poland
,U, Poland
Karol Zawadzki,M, Poland
Katarzyna Ceran,F, Poland
,U, Poland
Tomasz Pyda,M, Poland
Wiktoria Kowalczyk,F, Poland
,U, Poland
Andrzej Stanisławek,M, Poland
Władysława Pęczkowska,F, Poland
,U, Poland
Józef Ligięza,M, Poland
Klara Czarnecka,F, Poland
,U, Poland
J�zef Szwed,M, Poland
Stefania Łyjak,F, Poland
,U, Poland
Antoni Toczek,M, Poland
Antonina Junoszczyk,F, Poland
,U, Poland
J�zef Rysztak,M, Poland
Waleria Ostrowska,F, Poland
,U, Poland
Michał Matejka,M, Poland
Antonina Jasik,F, Poland
,U, Poland
J�zef Czuba,M, Poland
Anna Małecka,F, Poland
Konstanty Adamiec,M, Lublin
Jerzy Antoni Stanisław Aktaboski,M, Lublin
Janina Adamczyk,F, Lublin
Zofja Ewa Bożenna Aktaboska,F, Lublin
J�zef Ludomir Adamczyk,M, Lublin
Jan Piotr Adamczyk,M, Lublin
Michał Adamczyk,M, Lublin
Krystyna Oborska,F, Lublin
Piotr Adamiec,M, Lublin
Marya Daniela Oborska,F, Lublin
Stanisław Adamczyk,M, Lublin
Jan Adamczyk,M, Lublin
Bogdan Adamczewski,M, Lublin
J�zef Adamczyk,M, Lublin
J�zef Abramek,M, Lublin
Jadwiga J�zefa Abramek,F, Lublin
Marianna Adamczyk,F, Lublin
Stanisław Abramczyk,M, Lublin
Stanisława Adamczyk,F, Lublin
Jadwiga Adamska,F, Lublin
J�zef Adamczuk,M, Poland
Ludwik Adamczuk,M, Poland
Władysława Kulawczuk,F, Poland
Władysław Adamczuk,M, Poland
Franciszek Adamczuk,M, Poland
J�zefa Kot,F, Poland
Władysław Adamczuk,M, Poland
Paweł Adamczuk,M, Poland
Antonina Burda,F, Poland
Antoni Adamczuk,M, Poland
Franciszek Adamczuk,M, Poland
Wacława Odrzywolska,F, Poland
Franciszka Adamczuk,F, Poland
Kazimierz Adamczuk,M, Poland
Stanisława Michaluk,F, Poland
Stanisław Adamski,M, Poland
Antoni Adamski,M, Poland
Katarzyna Weretyńska,F, Poland
Marianna Adamczuk,F, Poland
Feliks Adamczuk,M, Poland
Wiktoria Wichlaj,F, Poland
Janina Adamska,F, Poland
Antoni Adamski,M, Poland
Katarzyna Weretyńska,F, Poland
Stanisława Adamczuk,F, Poland
Walenty Adamczuk,M, Poland
Antonina Piotrowska,F, Poland
Jan Adamczuk,M, Poland
Franciszek Adamczuk,M, Poland
Wacława Odrzywolska,F, Poland
Stanisław Adamczuk,M, Poland
Kazimierz Adamczuk,M, Poland
Stanisława Michaluk,F, Poland
Leonarda Adamczuk,F, Poland
Paweł Adamczuk,M, Poland
Antonina Burda,F, Poland
Jan Adamczuk,M, Poland
Henryk Adamczuk,M, Poland
Rozalia Oliwiak,F, Poland
Antoni Adamczuk,M, Poland
Ludwik Adamczuk,M, Poland
Władysława Kulawczuk,F, Poland
Stanisław Adamczuk,M, Poland
Paweł Adamczuk,M, Poland
Antonina Burda,F, Poland
Piotr Adamczyk,M, Lublin
J�zef Adamczuk,M, Poland
Feliks Adamczuk,M, Poland
Wiktoria Wichlaj,F, Poland
Antoni Adamczuk,M, Poland
Henryk Adamczuk,M, Poland
Rozalia Oliwiak,F, Poland
Aleksander Adamczuk,M, Poland
Aleksander Adamczuk,M, Poland
Kazimiera Witek,F, Poland
Jan Adamczuk,M, Poland
J�zef Adamczuk,M, Poland
Franciszka Stańkowska,F, Poland
Jan Adamczuk,M, Poland
Feliks Adamczuk,M, Poland
Wiktoria Wichlaj,F, Poland
Janina Adamczuk,F, Poland
Wiktor Adamczuk,M, Poland
Feliksa Krynicka,F, Poland
Jan Aksamirski,M, Poland
Władysław Aksamirski,M, Poland
Tekla Macieńko,F, Poland
Bronisław Adamczuk,M, Poland
Walenty Adamczuk,M, Poland
Antonina Pietrowska,F, Poland
J�zef Adamczuk,M, Poland
Kajetan Adamczuk,M, Poland
Stefania Bielecka,F, Poland
Ewa Adamczuk,F, Poland
Paweł Adamczuk,M, Poland
Antonina Burda,F, Poland
Wacław Adamski,M, Poland
Ludwik Adamski,M, Poland
Anna W�jcik,F, Poland
Stefan Bronisław Adamczuk,M, Poland
Paweł Adamczuk,M, Poland
Antonina Burda,F, Poland
Władysław Adamski,M, Poland
Ludwik Adamski,M, Poland
Anna W�jcik,F, Poland
Antonina Adamska,F, Poland
Michał Adamski,M, Poland
Marianna Zaręba,F, Poland
Stefan Adamski,M, Poland
Jan Adamski,M, Poland
Marianna Siczek,F, Poland
Helena Adamska,F, Poland
Walenty Adamski,M, Poland
Marianna Szumowska,F, Poland
Kazimiera Janina Adach,F, Poland
Stanisław Adach,M, Poland
Leontyna Ciężka,F, Poland
Wanda Adamczewska,F, Poland
Ludwik Adamczewski,M, Poland
Katarzyna Pawłoś,F, Poland
Tadeusz Franciszek Adamiak,M, Poland
Andrzej Adamiak,M, Poland
Julianna Grudzińska,F, Poland
Janina Adamowska,F, Poland
Jan Adamowski,M, Poland
Marianna Siczek,F, Poland
Stefania Zabratowska,F, Poland
Kazimierz Zabratowski,M, Poland
Katarzyna Walczak,F, Poland
Władysława Adamiak,F, Poland
Andrzej Adamiak,M, Poland
Julianna Grudzińska,F, Poland
Michał Adamowski,M, Poland
Jan Adamowski,M, Poland
Marianna Siczek,F, Poland
Zygmunt Szczerbiec,M, Poland
Stanisław Szczerbiec,M, Poland
Marianna Sztejnk,F, Poland
Adam Adamczak,M, Poland
Adam Adamczak,M, Poland
Konstancja Pietrzak,F, Poland
Bolesław Adamski,M, Poland
Walenty Adamski,M, Poland
Marianna Szumowska,F, Poland
J�zef Adamczyk,M, Poland
Aleksander Szczerbiec,M, Poland
Jan Szczerbiec,M, Poland
Wiktoria Najder,F, Poland
Stefania Szczerbiec,F, Poland
Jan Szczerbiec,M, Poland
Wiktoria Najder,F, Poland
Marianna Adamiak,F, Poland
Stanisław Adamiak,M, Poland
Franciszka Kazimierska,F, Poland
J�zef Adamiak,M, Poland
Kazimierz Adamiak,M, Poland
Marianna Szubartowska,F, Poland
Genowefa Adamiak,F, Poland
Andrzej Adamiak,M, Poland
Julianna Grudzińska,F, Poland
Stanisław Adamczyk,M, Poland
Marcin Adamczyk,M, Poland
Katarzyna Michalak,F, Poland
Aleksandra Adamczyk,F, Poland
Aleksander Adamczyk,M, Poland
Helena G�rska,F, Poland
Stanisław Adamczyk,M, Poland
Wincenty Adamczyk,M, Poland
Helena Bielińska,F, Poland
Antoni Adamiak,M, Poland
Kazimierz Adamiak,M, Poland
Marianna Szubartowska,F, Poland
Stanisław Adamiak,M, Poland
Andrzej Adamiak,M, Poland
Julianna Grudzińska,F, Poland
Jacobus Adamczy,M,Poland
Rosalia,F,Poland
Agatha Adamczyk,F,Poland
Michael Adamozy,M,Poland
Joannes Adamczyk,M,Poland
Sophia Adamczyk,F,Poland
Adam Adamczyk,M,Poland
Sophia Adarmczyk,F,Poland
Cunegundis Adamczyk,F,Poland
Josephus Amczyk,M,Poland
Joannes Adamczyk,M,Poland
Joannes Adamczyk,M,Poland
Marianna Ubezud,F,Poland
Helena Adamczyk,F,Poland
Adamczyk,M,Poland
Anna Pienoja,F,Poland
Joannes Adamczyk,M,Poland
Josephus Adamczyk,M,Poland
Josephus Adamczyk,M,Poland
Anna Adamczyk,F,Poland
Bronislaus Adamczyk,M,Poland
Franciscus Adamczyk,M,Poland
Justina Adamczyk,F,Poland
Martinus Adamczyk,M,Poland
Petrus Adamczyk,M,Poland
Petrus Adamcik,M,Poland
Marianna Adamczyk,F,Poland
Joseph Adamczyk,M,Poland
Stanislaus Adamczyk,M,Poland
Joachim Adamyk,M,Poland
Saroslava Adamiczka,F,Poland
Georgius Carolus Adamieka,M,Poland
Michael,M,Poland
Josephus Ladislaus Hebl,M,Poland
Anna Adamczyk,F,Poland
Augustinus Adamczyk,M,Poland
Anna Hatuwaczen,F,Poland
Maria Aksamit,F,Poland
Michael Aksamit,M,Poland
Josephus,M,Poland
Antonina Aksamit,F,Poland
Hebel,U,Poland
Antonina Aksamik,F,Poland
Antonius Obryk,M,Poland
Stephania Adamek,M,Poland
Stanislaus Adamczyk,M,Poland
Stanislaus Adamek,M,Poland
Angela Aclamek,F,Poland
Josephus Abzuth,M,Poland
Michalina Vanda Adamczyk,F,Poland
Martinus Adamczyk,M,Poland
Eugenius Nicolaus Adamczyk,M,Poland
Ludovica Adamczyk,F,Poland
Joannes Obrusz,M,Poland
Michael Abranszk,M,Poland
Antonius Adalbertus Achtal,M,Poland
Franciscus Stanislaus Abramczyk,M,Poland
Veronica Bububla,F,Poland
Alexander Uycor,M,Poland
Francisca Kadmarczyk,F,Poland
Anna,F,Poland
Joannes Antonius Adamski,M,Poland
Joannes,M,Poland
Anna Oprata,F,Poland
Josephus Adamowicz,M,Poland
Andreas Adamczyk,M,Poland
Joseph Adamczyk,M,Poland
Maria Adamczyk,F,Poland
Catharina Adamczyk,F,Poland
Stanislaus Adalbertus Adamczyk,M,Poland
Adamczyk,U,Poland
Mathias Adamzcyk,M,Poland
Adamczyk,U,Poland
Sophia Adamczyk,F,Poland
Angela Adamczyk,F,Poland
Ludovica Adamczyk,F,Poland
Agnes Adamczyk,F,Poland
Sophia Adamczyk,F,Poland
Josephus Adamczyk,M,Poland
Andreas Adamczyk,M,Poland
Bronislava Adamczyk,F,Poland
Marianna Victoria Adamczyk,F,Poland
Valeria Adamczyk,F,Poland
Maximilianus Adamczyk,M,Poland
Stanislaus Adamczyk,M,Poland
Miecislaus Adamczyk,M,Poland
Catharina Adamczyk,F,Poland
Julia Adamczyk,F,Poland
Josepha Adamczyk,F,Poland
Anna Adamczek,F,Poland
Michael Josephus Adamczyk,M,Poland
Josephus Adamczyk,M,Poland
Joannes Adawicxyk,M,Poland
Ladislaus Adamowicz,M,Poland
Vanda Elisabetha Adamonicz,F,Poland
Marianna Sabris,F,Poland
Joannes Abram,M,Poland
Rozalia Abram,F,Poland
Valentinus Abram,M,Poland
Stephania Abram,F,Poland
Michael Abram,M,Poland
Joannes Abram,M,Poland
Cunegundis Abram,F,Poland
Martinus Abram,M,Poland
Petrus Abram,M,Poland
Anna Ubrona,F,Poland
Stanislaus Abrow,U,Poland
Sophia Abram,F,Poland
Maria Abram,F,Poland
Petrus Abzmu,M,Poland
Franciscus Abrom,M,Poland
Josephus Jasira,M,Poland
Maria Abram,F,Poland
Adalbertus Abram,M,Poland
Hedvigis Adamczyk,F,Poland
Helena Orachor,F,Poland
Antonius Adamczyk,M,Poland
Antonius Adamczyk,M,Poland
Maria Babuba,F,Poland
Stephania Zacsyk,F,Poland
Ladislaus Adamczyk,M,Poland
Josepha Adamczyk,F,Poland
Cunegundis Adamczyk,F,Poland
Joannes Adamczyk,M,Poland
Joseph Adamczyk,M,Poland
Josephus Adamczyk,M,Poland
Joannes Zaczebiak,M,Poland
Adalbertus Adamczyk,M,Poland
Josephus Adamyczyk,M,Poland
Casimira Adamczyk,F,Poland
Casimira Julianna Adamczyk,F,Poland
Josephus Adamczyk,M,Poland
Anna Pszcrota,F,Poland
Florianus Adamcryl,M,Poland
Maria Adamczyk,F,Poland
Antonius Adamczyk,M,Poland
Catharina Adamayk,F,Poland
Andreas Aksamit,M,Poland
Bronislava Hachuba,F,Poland
Franciscus Adamcsyk,M,Poland
Franciscus Adamczyk,M,Poland
Rosalia Adamczyk,F,Poland
Franciscus Adamek,M,Poland
Josephus Adamek,M,Poland
Franciscus Budisary,M,Poland
Stanislaus Wkordazezyk,M,Poland
Josephus Abram,M,Poland
Sophia Vanda Jabruga,F,Poland
Adalbertus Adamczyk,M,Poland
Joseph Adamowicz,M,Poland
Stanislaus Adamczyk,M,Poland
Petrus Nacrozitas,M,Poland
Josephus Adamczyk,M,Poland
Francisca Catharina Ajburu,U,Poland
Antonina Hachvicorta,F,Poland
Anna Adamczyk,F,Poland
Joanna Hedvigis Adamczyk,F,Poland
Laurentius Adamczyk,M,Poland
Sophia Adamczyk,F,Poland
Carolina Adamczyk,F,Poland
Henricus Adamczyk,M,Poland
Stanislaus Adamczyk,M,Poland
Vlastimilus Adalmiczka,M,Poland
Petrus Paulus Aksamit,M,Poland
Anna Josiro,F,Poland
Carolina Adamczyk,F,Poland
Bohdan Śliwiński,M, Lublin
Kazimiera Skrzypczak,F, Lublin
Helena Janina Śliwińska,F, Lublin
Stanisława Wanda Skraińska,F, Poland
Kazimierz Skraińska,M, Poland
Skraiński Wójtowicz,F, Poland
Julian Szklarski,M, Poland
Władysław Szklarski,M, Poland
Szklarski Michalska,F, Poland
Bohdan Karol Siwicki,M, Lublin
,U, Poland
Andrzej Jakubowski,M, Poland
Jadwiga Łatwińska,F, Poland
,U, Poland
Antoni Grzegorczyk,M, Poland
Tekla Jagitka,F, Poland
,U, Poland
Jan Wosiak,M, Poland
Agnieszka Grabowska,F, Poland
,U, Poland
Andrzej Jakubowski,M, Poland
Franciszka Podg�rniak,F, Poland
,U, Poland
Andrzej Kowalski,M, Poland
Anna Myśliwiec,F, Poland
,U, Poland
Piotr Stec,M, Poland
Zuzanna Gęca,F, Poland
,U, Poland
Jan Matys,M, Poland
Antonina Mazur,F, Poland
,U, Poland
Józef Zieliński,M, Poland
Zofia Golon,F, Poland
,U, Poland
Wojciech Starek,M, Poland
