trainingsize,time,k,accuracy
10,0,1,22.22222222222222
10,0,2,22.22222222222222
10,0,3,22.22222222222222
10,0,4,22.22222222222222
10,0,5,22.22222222222222
100,1,1,22.22222222222222
100,1,2,17.17171717171717
100,1,3,18.181818181818183
100,1,4,17.17171717171717
100,1,5,17.17171717171717
200,3,1,20.603015075376884
200,2,2,21.608040201005025
200,3,3,19.597989949748744
200,3,4,22.613065326633166
200,3,5,20.100502512562816
1000,52,1,28.628628628628626
1000,52,2,29.52952952952953
1000,53,3,29.72972972972973
1000,54,4,30.73073073073073
1000,53,5,30.630630630630627
5000,1032,1,29.337641357027465
5000,997,2,30.016155088852987
5000,1047,3,31.017770597738288
5000,1143,4,31.340872374798064
5000,963,5,30.8562197092084
10000,2406,1,29.563812600969307
10000,2314,2,30.791599353796446
10000,2410,3,31.502423263327948
10000,2534,4,31.82552504038772
10000,2402,5,31.72859450726979
12340,1989,1,29.951534733441033
12340,2475,2,30.46849757673667
12340,1997,3,31.696284329563813
12340,2598,4,31.95476575121163
12340,2472,5,32.05169628432956

