input,result,expected
Michał,Ireland, Poland
William,Ireland,Ireland
Klara,Ireland, Netherlands
Jadwiga,Poland, Poland
Stanisław,Poland, Poland
Vincentius,Ireland,Poland
Matthijs,Poland, Netherlands
Gertrudis,Poland,Poland
Laura,Poland,Ireland
Klaas,Poland, Netherlands
Michael,Ireland,Poland
Arie,Poland, Netherlands
Mary,Ireland,Ireland
Willempje,Ireland, Netherlands
Johanna,Netherlands, Netherlands
Stanisław,Poland, Poland
Elizabeth,Poland, Netherlands
Jane,Poland,Ireland
Lijntje,Poland, Netherlands
Carolina,Poland,Poland
Jacobus,Poland, Netherlands
Sophia,Poland, Netherlands
Bolesław,Ireland, Poland
Cornelis,Netherlands, Netherlands
Josepha,Poland,Poland
Hendrikus,Netherlands, Netherlands
John,Netherlands,Ireland
Carolina,Poland,Poland
Lijntje,Poland, Netherlands
Karolina,Poland, Poland
Jakob,Poland, Netherlands
Jannetje,Poland, Netherlands
Maarten,Poland, Netherlands
Adam,Poland,Ireland
Tekla,Poland, Poland
Johanna,Poland, Netherlands
Stephana,Poland,Poland
Maria,Poland, Netherlands
Josephus,Poland,Poland
Hendrik,Netherlands, Netherlands
Quinton,Poland,Ireland
Jacob,Poland, Netherlands
Maria,Poland, Netherlands
Bastiaan,Poland, Netherlands
Jan,Netherlands, Netherlands
Klazina,Poland, Netherlands
Anna,Poland,Ireland
Charles,Poland,Ireland
Cornelia,Poland, Netherlands
Hugh,Ireland,Ireland
Sophia,Poland,Poland
Rebecca,Poland,Ireland
Johanna,Poland, Netherlands
Hendrik,Poland, Netherlands
Ludovicus,Poland,Poland
Marianna,Poland, Poland
Johan,Ireland, Netherlands
Fanny,Netherlands,Ireland
Cornelia,Ireland, Netherlands
Marianna,Poland,Poland
Helena,Poland, Netherlands
James,Ireland,Ireland
Pieter,Poland, Netherlands
Martha,Ireland,Ireland
James,Poland,Ireland
Margaretha,Ireland, Netherlands
Abraham,Ireland, Netherlands
Arie,Poland, Netherlands
Rosalia,Poland,Poland
Xenia,Poland,Ireland
Pieter,Poland, Netherlands
Edward,Ireland,Ireland
Maria,Poland, Netherlands
Franciszka,Poland, Poland
James,Ireland,Ireland
Jacobus,Poland, Netherlands
Elizabeth,Poland, Netherlands
Floris,Ireland, Netherlands
Jan,Ireland, Netherlands
