Fullname,Gender,Country
Stanislaus,M,Poland
Paulina,F, Netherlands
Remko,M, Netherlands
Boudewina,F, Netherlands
Antonius,M, Netherlands
Carolus,M,Poland
Hendrika,F, Netherlands
Joseph,M,Poland
Hermann,M, Netherlands
Catherine,U,Ireland
Andrew,U,Ireland
Patrick,U,Ireland
Pieter,M, Netherlands
Mary,U,Ireland
Wilhelmina,F, Netherlands
Filip,M, Poland
Gerard,M, Netherlands
Gerardus,M, Netherlands
Cornelis,M, Netherlands
Johannes,M, Netherlands
Aleksander,M, Poland
Maria,F, Netherlands
Ladislaus,M,Poland
Petronella,F, Netherlands
Johanna,F, Netherlands
Antje,F, Netherlands
Klaas,M, Netherlands
Maria,F,Poland
Gerardus,M, Netherlands
Leokadia,F, Poland
Pieter,M, Netherlands
Jan,M, Netherlands
Rosalia,F,Poland
Stanisław,M, Lublin
Gerrit,M, Netherlands
Violet,U,Ireland
Maria,F, Netherlands
Florence,U,Ireland
Anna,F, Netherlands
Catherine,U,Ireland
Karel,M, Netherlands
Saartje,F, Netherlands
Christina,F, Netherlands
,U, Poland
Ralph,U,Ireland
Hendrik,M, Netherlands
George,U,Ireland
Cornelia,F, Netherlands
Carel,M, Netherlands
Owen,U,Ireland
Antonius,M,Poland
Anna,F,Poland
J�zef,M, Poland
Gerhardus,M, Netherlands
Catharina,F,Poland
Stephania,F,Poland
Harry,M, Netherlands
Emile,M, Netherlands
Johanna,F, Netherlands
Elizabeth,F, Netherlands
Adrianus,M, Netherlands
Wilhelmus,M, Netherlands
Alida,F, Netherlands
Hendrika,F, Netherlands
Cornelis,M, Netherlands
Teresa,U,Ireland
Tadeusz,M, Lublin
Józef,M, Poland
Willem,M, Netherlands
Hugh,U,Ireland
Julia,U,Ireland
Jan,M, Poland
Bernardus,M, Netherlands
Dirkje,F, Netherlands
Mary,U,Ireland
Josephus,M,Poland
Marianna,F, Poland
Petrus,M,Poland
Hendrica,F, Netherlands
Geesje,F, Netherlands
Franciszka,F, Poland
Marinua,M, Netherlands
Jacobus,M, Netherlands
Samuel,U,Ireland
Róża,F, Lublin
Henderika,F, Netherlands
Maria,F, Netherlands
Władysława,F, Poland
Theodorus,M, Netherlands
Laurens,M, Netherlands
Petrus,M, Netherlands
Anna,F, Netherlands
Johannes,M, Netherlands
Josepha,F, Netherlands
Carolus,M, Netherlands
Leon,M, Poland
Wiktoria,F, Poland
Cornelis,M, Netherlands
Winefred,U,Ireland
Anna,F, Poland
Franciscus,M,Poland
Sophia,F,Poland
Alida,F, Netherlands
Pieter,M, Netherlands
Jurjen,M, Netherlands
Willem,M, Netherlands
Wacława,F, Poland
Caroline,F, Netherlands
Angela,F,Poland
Hendrika,F, Netherlands
Maria,F, Netherlands
Mary,U,Ireland
Fredrik,M, Netherlands
Cornelis,M, Netherlands
George,U,Ireland
Cornelis,M, Netherlands
Josephus,M,Poland
Lena,F, Netherlands
Egon,M, Netherlands
Katarzyna,F, Poland
Catharina,F, Netherlands
Maartje,F, Netherlands
Anna,F, Netherlands
Sarah,U,Ireland
Gerardus,M, Netherlands
Rebekka,F, Netherlands
Bastiaantje,F, Netherlands
Janna,F, Netherlands
Jannetje,F, Netherlands
Teofila,F, Poland
Stanisław,M, Poland
Johannes,M, Netherlands
Mary,U,Ireland
Samuel,U,Ireland
Maria,F, Netherlands
Alex,U,Ireland
Mary,U,Ireland
Queenie,U,Ireland
Valeria,F,Poland
Ursula,U,Ireland
Agatha,F, Netherlands
Maria,F, Netherlands
Arie,M, Netherlands
Josephus,M,Poland
Kazimiera,F, Lublin
Ada,F, Netherlands
Jacoba,F, Netherlands
Agata,F, Poland
Dirkje,F, Netherlands
Adrianus,M, Netherlands
Hendrikje,F, Netherlands
Cornelia,F, Netherlands
Lambertus,M, Netherlands
Wojciech,M, Poland
Terence,U,Ireland
Teunis,M, Netherlands
Bronislava,F,Poland
Neeltje,F, Netherlands
Jan,M, Netherlands
Johannes,M, Netherlands
Marianna,F, Netherlands
David,M, Netherlands
Jacobus,M, Netherlands
Wilhelmina,F, Netherlands
Ludovica,F,Poland
Johann,M, Netherlands
Helena,F, Netherlands
Mary,U,Ireland
Jeannetta,F, Netherlands
Casimira,F,Poland
Willem,M, Netherlands
Franciscus,M, Netherlands
Richard,U,Ireland
James,U,Ireland
Catharina,F, Netherlands
Skrzynier,M,Poland
Maria,F,Poland
Helena,F, Poland
Helena,F,Poland
Henry,U,Ireland
Stanislaus,M,Poland
Margaret,U,Ireland
Huibertus,M, Netherlands
Michael,U,Ireland
Johanna,F, Netherlands
Antonius,M, Netherlands
Cornelius,U,Ireland
Sophia,F,Poland
Hendrikus,M, Netherlands
Maria,F, Netherlands
Anna,F, Netherlands
Cornelis,M, Netherlands
Johanna,F, Netherlands
Catherine,U,Ireland
Hendrikus,M, Netherlands
Roeland,M, Netherlands
Hugh,U,Ireland
Geertje,F, Netherlands
Margaret,U,Ireland
Jacob,M, Netherlands
Brechta,F, Netherlands
Charlotta,F, Netherlands
Elizabeth,F, Netherlands
Apolonia,F, Netherlands
Rose,U,Ireland
Johanna,F, Netherlands
Josephus,M,Poland
Jacobus,M, Netherlands
Arie,M, Netherlands
Antonina,F, Poland
Arend,M, Netherlands
Clasina,F, Netherlands
Adrianus,M, Netherlands
Michael,M,Poland
Pieternella,F, Netherlands
Yvonne,U,Ireland
Barend,M, Netherlands
Helena,F,Poland
Czesław,M, Poland
Catharina,F, Netherlands
Maria,F,Poland
Julia,F,Poland
Franciszka,F, Poland
Frederick,U,Ireland
Trijntje,F, Netherlands
Joanna,F, Netherlands
Johannis,M, Netherlands
Pieter,M, Netherlands
Stanisław,M, Poland
Arie,M, Netherlands
Leontyna,F, Poland
Franciszek,M, Poland
Berendina,F, Netherlands
Melanie,F, Netherlands
Esther,U,Ireland
Karel,M, Netherlands
Eveline,F, Netherlands
Nicolina,F, Netherlands
Peter,U,Ireland
Sjoukje,F, Netherlands
Pieter,M, Netherlands
Maria,F, Netherlands
Adriaantje,F, Netherlands
Anna,F, Netherlands
Marinus,M, Netherlands
Mary,U,Ireland
Maria,F, Netherlands
Elizabeth,F, Netherlands
Bronislava,F,Poland
Elke,F, Netherlands
Samuel,U,Ireland
Johannes,M, Netherlands
Muriel,U,Ireland
Anna,F,Poland
Anne,U,Ireland
Willem,M, Netherlands
Neeltje,F, Netherlands
Carolina,F, Netherlands
Maria,F, Netherlands
Pieter,M, Netherlands
Janna,F, Netherlands
Belia,F, Netherlands
Arie,M, Netherlands
Anna,U,Ireland
Adrianus,M, Netherlands
Jan,M, Netherlands
Margaret,U,Ireland
Grietje,F, Netherlands
Elisabeth,F, Netherlands
Johannes,M, Netherlands
Alexander,M,Poland
Manus,M, Netherlands
Hendrik,M, Netherlands
Maggie,U,Ireland
Cornelia,F, Netherlands
Pieternella,F, Netherlands
Jane,U,Ireland
Liam,U,Ireland
Hubertus,M, Netherlands
Leonard,M, Netherlands
Jannigje,F, Netherlands
Sietje,F, Netherlands
Hendrika,F, Netherlands
Pieternella,F, Netherlands
Franciscus,M,Poland
Catherine,U,Ireland
Stanislaus,M,Poland
Michael,U,Ireland
Jaantje,F, Netherlands
Neeltje,F, Netherlands
Maria,F, Netherlands
Diena,F, Netherlands
Leon,U,Ireland
Wiktoria,F, Poland
Maria,F, Netherlands
Dorothy,U,Ireland
Stanisław,M, Poland
Franciszka,F, Poland
Petrus,M, Netherlands
Barend,M, Netherlands
Gertrude,U,Ireland
Hendrik,M, Netherlands
Cornelia,F, Netherlands
Klaudia,F, Poland
Adriaantje,F, Netherlands
Ethel,U,Ireland
Richard,U,Ireland
Geertruida,F, Netherlands
Franciszka,F, Poland
Theodora,F, Netherlands
Leendert,M, Netherlands
Frans,M, Netherlands
David,U,Ireland
Alford,U,Ireland
Kathleen,U,Ireland
Michael,M,Poland
Anna,F,Poland
Michael,M,Poland
Jasper,M, Netherlands
Johan,M, Netherlands
Pieter,M, Netherlands
Stephania,F,Poland
James,U,Ireland
Stanisław,M, Poland
Christiaan,M, Netherlands
Sietje,F, Netherlands
Cornelia,F, Netherlands
Edith,U,Ireland
Adalbertus,M,Poland
Pieter,M, Netherlands
Helena,U,Ireland
Allardus,M, Netherlands
Robert,U,Ireland
Drewes,M, Netherlands
Hedwigis,F,Poland
Marianus,M,Poland
Tomasz,M, Poland
Adriaan,M, Netherlands
Rijk,M, Netherlands
Rozalia,F, Poland
Dirkje,F, Netherlands
Patrick,U,Ireland
Wilhelmina,F, Netherlands
Daniel,M, Netherlands
Gerardus,M, Netherlands
Christiaan,M, Netherlands
Francis,U,Ireland
Willemijntje,F, Netherlands
Maria,F, Netherlands
Teofila,F, Poland
Cathleene,U,Ireland
Lilian,U,Ireland
Thomas,U,Ireland
Gerardina,F, Netherlands
Elizabeth,F, Netherlands
Cornelia,F, Netherlands
Robert,U,Ireland
Teuntje,F, Netherlands
Pieter,M, Netherlands
Dorothea,F, Netherlands
Stephania,F,Poland
Anna,F, Netherlands
Hendrik,M, Netherlands
Petronella,F, Netherlands
Petrus,M,Poland
Elisabeth,F, Netherlands
Albertus,M, Netherlands
Mary,U,Ireland
Willem,M, Netherlands
Neeltje,F, Netherlands
Trijntje,F, Netherlands
Christina,F, Netherlands
Cornelia,F, Netherlands
Yvonne,U,Ireland
Cornelia,F, Netherlands
Una,U,Ireland
Jacobus,M, Netherlands
Katarzyna,F, Poland
Anna,F, Netherlands
Daniel,M, Netherlands
Zofia,F, Poland
Irene,U,Ireland
Henri,M, Netherlands
Xenophon,U,Ireland
Frederik,M, Netherlands
Catharina,F, Netherlands
Albertus,M, Netherlands
Willem,M, Netherlands
Leendert,M, Netherlands
Female,U,Ireland
Cornelis,M, Netherlands
Rosalia,F,Poland
Yvonne,U,Ireland
Pieter,M, Netherlands
Wilhelmina,F, Netherlands
Margaret,U,Ireland
Peter,U,Ireland
Reinder,M, Netherlands
Ewa,F, Poland
Catherine,U,Ireland
Stanisław,M, Poland
Cornelis,M, Netherlands
Daniel,M, Netherlands
Alexander,M, Netherlands
Bridget,U,Ireland
Franciscus,F,Poland
Frederik,M, Netherlands
Magdalena,F,Poland
Jannetje,F, Netherlands
David,U,Ireland
Gasparus,M,Poland
Johanna,F, Netherlands
Bronisław,M, Poland
Petrus,M, Netherlands
Isabella,U,Ireland
Henry,U,Ireland
Catharina,F, Netherlands
Jean,M, Netherlands
Bernardus,M, Netherlands
Bastiaan,M, Netherlands
Marianna,F,Poland
Jacoba,F, Netherlands
Winifred,U,Ireland
Alberdina,F, Netherlands
Katarzyna,F, Poland
Arie,M, Netherlands
Maaike,F, Netherlands
Hugh,U,Ireland
Stanley,U,Ireland
Karl,M, Netherlands
Willem,M, Netherlands
Maria,F, Netherlands
Albertus,M, Netherlands
Hugh,U,Ireland
Ludovica,F,Poland
Heintje,F, Netherlands
Meina,F, Netherlands
Arie,M, Netherlands
Jacobus,M,Poland
Maartje,F, Netherlands
Maria,F,Poland
Heinrich,M, Netherlands
Mary,U,Ireland
Maartje,F, Netherlands
Adriaantje,F, Netherlands
Elizabeth,F, Netherlands
Władysław,M, Poland
Francina,F, Netherlands
Johannes,M, Netherlands
Paweł,M, Poland
Franciszka,F, Poland
Mary,U,Ireland
Agnieszka,F, Poland
James,U,Ireland
Sije,M, Netherlands
Honorata,F, Lublin
James,U,Ireland
Paweł,M, Poland
Geusje,F, Netherlands
Maria,F, Netherlands
Kaatje,F, Netherlands
Fredrika,F, Netherlands
Gerardus,M, Netherlands
Josepha,F,Poland
Johannes,M, Netherlands
Marianna,F, Poland
Dina,F, Netherlands
Wilhelmus,M, Netherlands
Cornelis,M, Netherlands
Jan,M, Netherlands
Johannes,M, Netherlands
Ignacy,M, Poland
John,U,Ireland
Jannigje,F, Netherlands
Piotr,M, Poland
Wacław,M, Poland
Pieternella,F, Netherlands
Hendrica,F, Netherlands
Ludwig,M, Netherlands
Maria,F, Netherlands
Catharina,F, Netherlands
J�zef,M, Poland
James,U,Ireland
Angela,U,Ireland
Bastiaan,M, Netherlands
Mateusz,M, Poland
Anna,F, Poland
Theodor,M, Netherlands
Kamilla,F, Lublin
Hendricus,M, Netherlands
Maria,F, Netherlands
Mozes,M, Netherlands
Adriana,F, Netherlands
Maria,F,Poland
Geertruida,F, Netherlands
Julia,F,Poland
Harmina,F, Netherlands
Lena,F, Netherlands
Ludovicus,M,Poland
Petrus,M,Poland
Henriette,F, Netherlands
Andrzej,M, Poland
Wilhelmus,M, Netherlands
Adriana,F, Netherlands
Susan,U,Ireland
Maria,F, Netherlands
Adrianus,M, Netherlands
Maria,F, Netherlands
Eliza,M, Netherlands
Stephanus,M,Poland
John,U,Ireland
Johannes,M, Netherlands
Jacob,M, Netherlands
Levina,F, Netherlands
Isabella,U,Ireland
Hotze,M, Netherlands
Marinus,M, Netherlands
Stanislaus,M,Poland
Andries,M, Netherlands
Ruth,U,Ireland
Mietje,F, Netherlands
Dirk,M, Netherlands
Mathias,M,Poland
Frans,M, Netherlands
Pieter,M, Netherlands
George,M, Netherlands
Angela,F,Poland
Hugh,U,Ireland
Fredrik,M, Netherlands
Michalina,F,Poland
Geertrui,F, Netherlands
Hans,M, Netherlands
Leonardus,M, Netherlands
Maria,F, Netherlands
Adam,M, Netherlands
Elizabeth,U,Ireland
Leendert,M, Netherlands
Boleslava,F,Poland
Elisabeth,F, Netherlands
Male,U,Ireland
Flora,F, Netherlands
Albertus,M, Netherlands
Johanna,F, Netherlands
Mary,U,Ireland
Antonia,F, Netherlands
Simon,M, Netherlands
Johannes,M, Netherlands
Joannes,M,Poland
Anna,F, Netherlands
Adam,M, Poland
Clasina,F, Netherlands
Johannes,M, Netherlands
Hendrika,F, Netherlands
Catharina,F, Netherlands
Jannetje,F, Netherlands
Jannetje,F, Netherlands
Isabella,U,Ireland
Aleksandra,F, Poland
Julianna,F,Poland
Maria,F,Poland
Huberta,F, Netherlands
Jan,M, Netherlands
Josephus,M,Poland
Robert,U,Ireland
J�zefa,F, Poland
Bernard,U,Ireland
Jacob,M, Netherlands
Engeltje,F, Netherlands
Bolesław,M, Poland
Petrus,M, Netherlands
Hijmen,M, Netherlands
Willempje,F, Netherlands
Salomon,M, Netherlands
Roderick,U,Ireland
Herribertha,F, Netherlands
Jacobus,M, Netherlands
Hendrika,F, Netherlands
Manus,M, Netherlands
Adam,M, Netherlands
Michael,U,Ireland
Anthony,U,Ireland
Martinus,M, Netherlands
Petronilla,F,Poland
Bernardus,M, Netherlands
Thomas,U,Ireland
Thomas,U,Ireland
Fredrika,F, Netherlands
Jacobus,M, Netherlands
George,U,Ireland
Cornelia,F, Netherlands
Mary,U,Ireland
Josephus,M,Poland
Petrus,M,Poland
Johanna,F, Netherlands
Ludwik,M, Poland
Jan,M, Poland
Margaretha,F, Netherlands
Patrick,U,Ireland
Stanislaus,M,Poland
George,U,Ireland
Rozalia,F,Poland
William,U,Ireland
Antonina,F,Poland
Gerrit,M, Netherlands
Michał,M, Poland
Joannes,M,Poland
Cornelia,F, Netherlands
Male,U,Ireland
Helena,F, Netherlands
Wijna,F, Netherlands
George,U,Ireland
Josephine,U,Ireland
Isaac,U,Ireland
